Assessment Name,Detail URL,Remote Testing,Adaptive/IRT,Test Type,Detail Title,Description,Job Levels,Detail Test Type,Downloads
Pharmaceutical Analysis (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-analysis-new/,Yes,No,K,Pharmaceutical Analysis (New),"Multi-choice test that measures the knowledge of laboratory analytical techniques such as chromatography, titration, spectroscopy, and spectrophotometry.","Graduate, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Pharmaceutical Analysis (New).pdf', 'language': 'English (USA)'}]"
Pharmaceutical Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-chemistry-new/,Yes,No,K,Pharmaceutical Chemistry (New),"Multi-choice test that measures the knowledge of physical chemistry, organic chemistry, inorganic chemistry, biochemistry and medicinal chemistry.","Graduate, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Pharmaceutical Chemistry (New).pdf', 'language': 'English (USA)'}]"
Pharmaceutical Science (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-science-new/,Yes,No,K,Pharmaceutical Science (New),"Multi-choice test that measures the knowledge of drug manufacture, drug delivery, drug action, and pharmaceutical analysis techniques.","Graduate, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Pharmaceutical Science (New).pdf', 'language': 'English (USA)'}]"
Pharmaceutics (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutics-new/,Yes,No,K,Pharmaceutics (New),"Multi-choice test that measures the knowledge of pharmaceutical engineering and technology for drug manufacture, biopharmaceutics, modern pharmaceutics and dispensing pharmacy.","Graduate, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Pharmaceutics (New).pdf', 'language': 'English (USA)'}]"
Pharmacology (New),https://www.shl.com/solutions/products/product-catalog/view/pharmacology-new/,Yes,No,K,Pharmacology (New),"Multi-choice test that measures the knowledge of pharmacological drugs classification, chemotherapy, inflammatory disorders, drug action on nervous system, endocrine pharmacology, drug action on circulatory system and GI tract.","Graduate, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Pharmacology (New).pdf', 'language': 'English (USA)'}]"
PHP (New),https://www.shl.com/solutions/products/product-catalog/view/php-new/,Yes,No,K,PHP (New),"Multi-choice test that measures the knowledge of OOPs & programming constructs, web & database handling and advanced PHP.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/PHP (New).pdf', 'language': 'English (USA)'}]"
PJM Development Report,https://www.shl.com/solutions/products/product-catalog/view/pjm-development-report/,Yes,No,CAP,PJM Development Report,"The Person-Job Match Report is unique in that it
matches the performance potential of the
individual to the job’s specific competencies. This
provides you with a comprehensive and insightful
understanding of person-job fit.  The PJM Development report is written to support competency focused development of an individual.

In a development context, this report can be used: To identify specific areas of strength and weakness that may impact on the individual?s 
performance.As the basis for identifying areas for development and development planning. For discussing fit to future roles and career planning.","Mid-Professional, Graduate, Manager,",N/A,"[{'title': 'Sample Report', 'link': 'https://service.shl.com/docs/PJM Development Report %2B Interview Questions English International.pdf', 'language': 'English International'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/PJM Development Report English International.pdf', 'language': 'English International'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/PJM Development Report Short Form English International.pdf', 'language': 'English International'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/PJM Development Report French (Canada).pdf', 'language': 'French (Canada)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/Sample_Candidate_PJM Development Report(ShortForm)_NAS.pdf', 'language': 'Latin American Spanish'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/PJM Development Report %2B Interview Questions English (US).pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/PJM Development Report English (US).pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/PJM Development Report Short Form English (US).pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/PJM Development Report Italian.pdf', 'language': 'Italian'}]"
PJM Selection Report,https://www.shl.com/solutions/products/product-catalog/view/pjm-selection-report/,Yes,No,ACP,PJM Selection Report,"The PJM Report provides a clear indication of each candidate's ""degree of fit"" to a role.  Provides targeted assessment results that match individuals with jobs . Links the essential/desirable competencies for a specific job with an individual’s competency potential. Provides an overall Match (or fit) Score useful in ranking/sorting candidates for selection 
and/or development (e.g. Talent Audit).  It provides a highly visual profile of a candidate's strengths and limitations against identified required competencies. Includes a summary table that enables prioritisation of action planning for development of critical competencies for an individual (by tabling Competency Potential against Job Importance for the role). It includes highly descriptive statements about a candidate's strengths and development  needs/limitations. 
The extended report versions include proposed competency-based interview questions 
to enable probing of specific situations in which the candidate might have 
demonstrated critical job behaviours. 
  
The PJM Report is designed for use by line managers and HR professionals in selection and 
development situations. It is valuable for identifying an individual's overall fit as well as likely areas of 
strength and weakness relative to their behaviour at work. 
 
In a selection context, this information can be used: For making interviewers aware of the areas that may need further probing. As a basis for suggesting and creating relevant interview questions. For identifying the relative strengths and weaknesses of shortlisted candidates.","Mid-Professional, Manager,",N/A,"[{'title': 'Sample Report', 'link': 'https://service.shl.com/docs/PJM Selection Report Short Form Int Q English Int.pdf', 'language': 'English International'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/PJM Selection Report - Short Form English International.pdf', 'language': 'English International'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/PJM Selection Report %2B Interview Questions English International.pdf', 'language': 'English International'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/PJM Selection Report English International.pdf', 'language': 'English International'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/PJM Selection Report %2B Interview Questions French (Canada).pdf', 'language': 'French (Canada)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/Sample_Candidate_PJM Selection Report(ShortForm)_NAS.pdf', 'language': 'Latin American Spanish'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/PJM Selection Report %2B Interview Questions Spanish (North America).pdf', 'language': 'Latin American Spanish'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/PJM Selection Report - Short Form English (US).pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/PJM Selection Report %2B Interview Questions English (US).pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/PJM Selection Report English (US).pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/PJM Selection Report - Short Form Chinese Simplified.pdf', 'language': 'Chinese Simplified'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/PJM Selection Report %2B Interview Questions Chinese Simplified.pdf', 'language': 'Chinese Simplified'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/PJM Selection Report Chinese Simplified.pdf', 'language': 'Chinese Simplified'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/PJM Selection Report %2B Interview Questions Italian.pdf', 'language': 'Italian'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/PJM Selection Report Italian.pdf', 'language': 'Italian'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/PJM Selection Report %2B Interview Questions Portuguese (Brazil).pdf', 'language': 'Portuguese (Brazil)'}]"
Polymer Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/polymer-engineering-new/,Yes,No,K,Polymer Engineering (New),"Multi-choice test that measures the knowledge of characterization of polymers, processing, synthesis, testing and applications in daily life.","Professional Individual Contributor, Graduate, Mid-Professional,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Polymer Engineering (New).pdf', 'language': 'English (USA)'}]"
Power Electronics and Drives (New),https://www.shl.com/solutions/products/product-catalog/view/power-electronics-and-drives-new/,Yes,No,K,Power Electronics and Drives (New),"Multi-choice test that measures the knowledge of power semiconductor devices, power electronic converters, drives and control systems.","Mid-Professional, Professional Individual Contributor, Graduate,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Power Electronics and Drives (New).pdf', 'language': 'English (USA)'}]"
Power System Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/power-system-engineering-new/,Yes,No,K,Power System Engineering (New),"Multi-choice test that measures the knowledge of power generation and transmission, electrical machines, power systems and drives, control and instrumentation, fluid mechanics and machines.","Graduate, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Power System Engineering (New).pdf', 'language': 'English (USA)'}]"
Prism (New),https://www.shl.com/solutions/products/product-catalog/view/prism-new/,Yes,No,K,Prism (New),"Multi-choice test that measures the knowledge of modules, patterns and other basic concepts of using the Prism library.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Prism (New).pdf', 'language': 'English (USA)'}]"
Production and Industrial Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/production-and-industrial-engineering-new/,Yes,No,K,Production and Industrial Engineering (New),"Multi-choice test that measures the knowledge of production technology, quality management, and design and planning of manufacturing systems.","Graduate, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Production and Industrial Engineering (New).pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/SHL Production and Industrial Engineering (New) Sample Report.pdf', 'language': 'English (USA)'}]"
Production Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/production-engineering-new/,Yes,No,K,Production Engineering (New),"Multi-choice test that measures the knowledge of production technology and analysis, metal cutting, tool design, material science and CIM.","Graduate, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Production Engineering (New).pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/SHL Production Engineering (New) Sample Report.pdf', 'language': 'English (USA)'}]"
Programming Concepts,https://www.shl.com/solutions/products/product-catalog/view/programming-concepts/,Yes,Yes,K,Programming Concepts,"The Programming Concepts test measures knowledge of the core aspects of computer science programming that is valid across programming languages. Designed for all programmers, this test covers the following topics:  Algorithms, Complex Data Types, Data Access, Productivity and Quality, Program Flow, Program Structure, Programming Paradigms, User Interface, Variables, Data Types, and Operators.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Fact Sheet_Programming Concepts.pdf', 'language': 'English (USA)'}]"
Project Management (2013),https://www.shl.com/solutions/products/product-catalog/view/project-management-2013/,Yes,Yes,K,Project Management (2013),"The Project Management (2013) test measures knowledge of how to manage projects to ensure that objectives are completed on time and within budget. The test is based on Project Management Institute's (PMI's), Project Management Body of Knowledge (PMBOK) Fifth Edition methodology. Designed for all professionals, this test covers the following topics: Project Communications Management, Project Cost Management, Project Human Resource Management, Project Management Characteristics, Project Management Methodologies, Project Procurement Management, Project Quality Management, Project Risk Management, Project Scope Management, Project Stakeholder Management, and Project Time Management.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/BB_Fact_Sheet_ProjectManagement.pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/Sample report Project management (2013).pdf', 'language': 'English (USA)'}]"
Proofreading v1,https://www.shl.com/solutions/products/product-catalog/view/proofreading-v1/,Yes,No,K,Proofreading v1,"This assessment measures ability to read for errors involving spelling, punctuation, grammar and word choice.  It also measures ability to correct those errors.","Entry-Level, Mid-Professional,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Fact Sheet_Proofreading.pdf', 'language': 'English (USA)'}]"
Python (New),https://www.shl.com/solutions/products/product-catalog/view/python-new/,Yes,No,K,Python (New),"Multi-choice test that measures the knowledge of Python programming, databases, modules and library.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Python (New).pdf', 'language': 'English (USA)'}]"
R Programming (New),https://www.shl.com/solutions/products/product-catalog/view/r-programming-new/,Yes,No,K,R Programming (New),Multi-choice test that measures the knowledge of R programming and its application in statistics.,"Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/R Programming (New).pdf', 'language': 'English (USA)'}]"
ReactJS (New),https://www.shl.com/solutions/products/product-catalog/view/reactjs-new/,Yes,No,K,ReactJS (New),"Multi-choice test that measures the technical knowledge of React APIs, render function, JSX, form validation and styling.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/ReactJS (New).pdf', 'language': 'English (USA)'}]"
Reading Comprehension - English v1,https://www.shl.com/solutions/products/product-catalog/view/reading-comprehension-english-v1/,Yes,Yes,A,Reading Comprehension - English v1,"The Reading Comprehension - English 
assessment provides a general measure of 
English reading comprehension. This test is 
comprised of items that contain a passage 
that you must read in order to answer the 
question being asked. The questions focus 
on the candidate's ability to demonstrate an 
understanding of the passage. Questions 
may be specific in nature, with answers that 
can be found almost word for word in the 
passage.  For example, the question may ask 
for a date, name or place that can be found by 
closely reading through the passage. 
Alternatively, the questions may be general in 
nature, with answers that can be determined 
only by fully understanding the meaning of the 
passage. ""What is the theme of the 
passage?"" or ""What is the mood of the 
author?"" are examples of general questions 
the candidate may be asked.","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Reading Comprehension - English.pdf', 'language': 'English (USA)'}]"
Reading Comprehension - Spanish v1,https://www.shl.com/solutions/products/product-catalog/view/reading-comprehension-spanish-v1/,Yes,Yes,A,Reading Comprehension - Spanish v1,"The Reading Comprehension - Spanish assessment provides a general measure of Spanish reading comprehension. This test is comprised of items that contain a passage that must read in order to answer the question being asked. The questions focus on the ability to demonstrate an understanding of the passage. Questions may be specific in nature, with answers that can be found almost word for word in the passage. For example, the question may ask for a date, name or place that can be found by closely reading through the passage. Alternatively, the questions may be general in nature, with answers that can be determined only by fully understanding the meaning of the passage. ""What is the theme of the passage?"" or ""What is the mood of the author?"" are examples of general questions that may be asked.","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Reading Comprehension - Spanish.pdf', 'language': 'English (USA)'}]"
Reading Comprehension v2,https://www.shl.com/solutions/products/product-catalog/view/reading-comprehension-v2/,Yes,Yes,A,Reading Comprehension v2,"The Reading Comprehension - English 
assessment provides a general measure of 
English reading comprehension. This test is 
comprised of items that contain a passage 
that you must read in order to answer the 
question being asked. The questions focus 
on the candidate's ability to demonstrate an 
understanding of the passage. Questions 
may be specific in nature, with answers that 
can be found almost word for word in the 
passage.  For example, the question may ask 
for a date, name or place that can be found by 
closely reading through the passage. 
Alternatively, the questions may be general in 
nature, with answers that can be determined 
only by fully understanding the meaning of the 
passage. ""What is the theme of the 
passage?"" or ""What is the mood of the 
author?"" are examples of general questions 
the candidate may be asked.","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Reading Comprehension - English.pdf', 'language': 'English (USA)'}]"
RemoteWorkQ,https://www.shl.com/solutions/products/product-catalog/view/remoteworkq/,Yes,No,C,RemoteWorkQ,"Using the Apta™ Architecture to focus on the relevant competency behaviors in the Universal Competency Framework, SHL developed the RemoteWorkQ to measure self-reported behavioral tendencies in competency areas that are important to performing effectively in remote work environments across three competency areas: 
o	Work Relationships
o	Work Habits
o	Self-Development & Well-Being
The RemoteWorkQ is intended for use across job families and levels for which working in a remote environment is important for the role. This report is designed to help you be more successful in a remote working environment by providing:
o	Insights into your identified strengths and potential risks for working remotely
o	Individualized coaching tips on how you can use your identified strengths to overcome risks","Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Front Line Manager, General Population, Graduate, Director, Entry-Level, Executive,",N/A,"[{'title': 'Fact Sheet', 'link': 'https://service.shl.com/docs/RemoteWorkQ FactSheet USE.pdf', 'language': 'English (USA)'}]"
RemoteWorkQ Manager Report,https://www.shl.com/solutions/products/product-catalog/view/remoteworkq-manager-report/,Yes,No,C,RemoteWorkQ Manager Report,"Using the Apta™ Architecture to focus on the relevant competency behaviors in the Universal Competency Framework, SHL developed the RemoteWorkQ to measure self-reported behavioral tendencies in competency areas that are important to performing effectively in remote work environments across three competency areas: 
o	Work Relationships
o	Work Habits
o	Self-Development & Well-Being
The RemoteWorkQ is intended for use across job families and levels for which working in a remote environment is important for the role. This report is designed to help you be more successful in a remote working environment by providing:
o	Insights into your identified strengths and potential risks for working remotely
o	Individualized coaching tips on how you can use your identified strengths to overcome risks","Director, Executive, Front Line Manager, Graduate, General Population, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Entry-Level,",N/A,"[{'title': 'Sample Report', 'link': 'https://service.shl.com/docs/RemoteWorkQ Manager Sample UKE.pdf', 'language': 'English International'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/RemoteWorkQ Manager Sample NAS.pdf', 'language': 'Latin American Spanish'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/RemoteWorkQ Manager Report USE.pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/RemoteWorkQ Manager Sample ARB.pdf', 'language': 'Arabic'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/RemoteWorkQ Manager Sample CHS.pdf', 'language': 'Chinese Simplified'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/RemoteWorkQ Manager Sample IND.pdf', 'language': 'Indonesian'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/RemoteWorkQ Manager Sample ITA.pdf', 'language': 'Italian'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/RemoteWorkQ Manager Sample ESP.pdf', 'language': 'Spanish'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/RemoteWorkQ Manager Sample BRA.pdf', 'language': 'Portuguese (Brazil)'}]"
RemoteWorkQ Participant Report,https://www.shl.com/solutions/products/product-catalog/view/remoteworkq-participant-report/,Yes,No,C,RemoteWorkQ Participant Report,"Using the Apta™ Architecture to focus on the relevant competency behaviors in the Universal Competency Framework, SHL developed the RemoteWorkQ to measure self-reported behavioral tendencies in competency areas that are important to performing effectively in remote work environments across three competency areas: 
o	Work Relationships
o	Work Habits
o	Self-Development & Well-Being
The RemoteWorkQ is intended for use across job families and levels for which working in a remote environment is important for the role. This report is designed to help you be more successful in a remote working environment by providing:
o	Insights into your identified strengths and potential risks for working remotely
o	Individualized coaching tips on how you can use your identified strengths to overcome risks","General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Director, Entry-Level, Executive, Front Line Manager,",N/A,"[{'title': 'Sample Report', 'link': 'https://service.shl.com/docs/RemoteWorkQ Participant Sample UKE.pdf', 'language': 'English International'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/RemoteWorkQ Participant Sample NAS.pdf', 'language': 'Latin American Spanish'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/RemoteWorkQ Participant Report USE.pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/RemoteWorkQ Participant Sample ARB.pdf', 'language': 'Arabic'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/RemoteWorkQ Participant Sample CHS.pdf', 'language': 'Chinese Simplified'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/RemoteWorkQ Participant Sample IND.pdf', 'language': 'Indonesian'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/RemoteWorkQ Participant Sample ITA.pdf', 'language': 'Italian'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/RemoteWorkQ Participant Sample ESP.pdf', 'language': 'Spanish'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/RemoteWorkQ Participant Sample BRA.pdf', 'language': 'Portuguese (Brazil)'}]"
RESTful Web Services (New),https://www.shl.com/solutions/products/product-catalog/view/restful-web-services-new/,Yes,No,K,RESTful Web Services (New),"Multi-choice test that measures the knowledge of REST features, architecture, handling requests, producing responses, entity translation, working with return types, security, filters, and interceptors.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/RESTful Web Services (New).pdf', 'language': 'English (USA)'}]"
Retail Sales and Service Simulation,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-and-service-simulation/,Yes,No,BKSA,Retail Sales and Service Simulation,"The Retail Sales and Service Simulation measures the ability of a candidate to choose effective sales and service techniques while interacting with customers. Situations are presented to the candidate via computer-based animation, and the candidate is offered a set of behaviors from which to choose the most and least effective responses. The behaviors vary in the extent to which the sales associate may: direct a conversation toward a commitment or sale, listen carefully to customers and provide options that address what they really need/want, put aside work to assist a customer, and focus on meeting customer needs. Responses are tracked and compared against expert ratings of effectiveness. The test produces an overall score, as well as scores on two subscales, Customer Service Effectiveness and Sales Effectiveness.","Entry-Level,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Fact Sheet Retail Sales and Service Simulation.pdf', 'language': 'English (USA)'}]"
Reviewing Forms - US (R1),https://www.shl.com/solutions/products/product-catalog/view/reviewing-forms-us-r1/,Yes,No,K,Reviewing Forms - US (R1),"This assessment measures ability to detect errors in forms by comparing text in a form to text in a paragraph format. Based on information in the paragraph, the test taker must select the answer that indicates the incorrect information.","Entry-Level, Mid-Professional,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Fact Sheet_Reviewing_Forms.pdf', 'language': 'English (USA)'}]"
Ruby (New),https://www.shl.com/solutions/products/product-catalog/view/ruby-new/,Yes,No,K,Ruby (New),"Multi-choice test that measures the knowledge of Ruby strings, collection classes, regular expressions, methods, object oriented programming, exception handling, database connectivity, threads, scripting, network programming and web applications.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Ruby (New).pdf', 'language': 'English (USA)'}]"
Ruby on Rails (New),https://www.shl.com/solutions/products/product-catalog/view/ruby-on-rails-new/,Yes,No,K,Ruby on Rails (New),"Multi-choice test that measures the knowledge of Ruby Programming, Rails installation, Rails MVC and Rails programming model.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Ruby on Rails (New).pdf', 'language': 'English (USA)'}]"
Sales & Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/sales-and-service-phone-simulation/,Yes,No,SB,Sales & Service Phone Simulation,"As part of Contact Center Simulations, the Sales & Service Phone Simulation is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers. Sample tasks for these jobs include: interacting with customers on the phone to sell a product/service; adding new or upgraded products or services; extending promotional or retention offers; responding appropriately to customer objections; navigating to information menus to assist the customer and process information; and typing information quickly and accurately. Potential job titles that use this simulation include: telesales representative, outbound sales representative, telemarketer, and contact center representative.","Entry-Level,",N/A,"[{'title': 'Detailed Report', 'link': 'https://service.shl.com/docs/Sample_DetailedReport_UKE.pdf', 'language': 'English International'}, {'title': 'Development Report', 'link': 'https://service.shl.com/docs/Sample_DevelopmentReport_UKE.pdf', 'language': 'English International'}, {'title': 'Interview Report', 'link': 'https://service.shl.com/docs/Sample_InterviewReport_UKE.pdf', 'language': 'English International'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/Candidate_Detailed_Report_(Sales_Service Phone Simulation).pdf', 'language': 'English (USA)'}, {'title': 'Factsheet', 'link': 'https://service.shl.com/docs/CCSims Phone Agent - Fact Sheet.pdf', 'language': 'English (USA)'}]"
Sales & Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-and-service-phone-solution/,Yes,No,BPS,Sales & Service Phone Solution,"As part of Contact Center Simulations, the Sales & Service Phone Solution includes a contact center simulation and three behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. This solution is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers. Sample tasks for these jobs include: interact with customers on the phone to sell a product/service; add new or upgraded products or services; extend promotional or retention offers; respond appropriately to customer objections; navigate to information menus to assist the customer and process information; and type information quickly and accurately. Potential job titles that use this simulation are: Telesales Representative, Telemarketer, and Contact Center Representative. The behavioral tests in this solution are intended to measure the candidate’s sales focus, learning potential, and the tendency to meet goals and work hard, even when faced with obstacles. Collectively, the assessments in this solution measure a wide range of important skills, abilities, and behaviors for entry-level contact center roles involving sales or sales and service.","Entry-Level,",N/A,"[{'title': 'Detailed Report', 'link': 'https://service.shl.com/docs/Sample_DetailedReport_UKE.pdf', 'language': 'English International'}, {'title': 'Development Report', 'link': 'https://service.shl.com/docs/Sample_DevelopmentReport_UKE.pdf', 'language': 'English International'}, {'title': 'Interview Report', 'link': 'https://service.shl.com/docs/Sample_InterviewReport_UKE.pdf', 'language': 'English International'}, {'title': 'Factsheet', 'link': 'https://service.shl.com/docs/CCSims Phone Agent - Fact Sheet.pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/Candidate_Detailed_Report_(Sales_Service Phone Solution).pdf', 'language': 'English (USA)'}]"
Sales Interview Guide,https://www.shl.com/solutions/products/product-catalog/view/sales-interview-guide/,Yes,No,PP,Sales Interview Guide,"The SHL Sales Model is mapped to the SHL Universal Competency Model (UCF). The Sales Model Interview guide was developed to enable you to use the Sales Report more effectively, by helping you prepare and execute you interviews more effectively.","Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Fact Sheet', 'link': 'https://service.shl.com/docs/OPQ_MQ_Sales_Report_Fact_Sheet.pdf', 'language': 'English International'}]"
Sales Profiler Cards,https://www.shl.com/solutions/products/product-catalog/view/sales-profiler-cards/,Yes,No,P,Sales Profiler Cards,"The SHL Sales Model is mapped to the SHL Universal Competency Model (UCF). The Sales Model Profiler cards have been developed to enable you to use the Sales Report more effectively, by helping you to understand which competencies and motivators described in the report are most important to a specific sales role.","Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,",N/A,[]
Sales Transformation 1.0 - Individual Contributor,https://www.shl.com/solutions/products/product-catalog/view/sales-transformation-report-individual-contributor/,Yes,No,P,Sales Transformation 1.0 - Individual Contributor,This report draws insights from the OPQ. It provides an accurate and objective measure of a salesperson’s ability to sell well in a digital first environment. Insights included in this report include individual scores and score narratives for the behaviours included in SHL’s Sales Transformation behavioural model.,"Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",N/A,"[{'title': 'Sample Report (Recruiter)', 'link': 'https://service.shl.com/docs/Sales Transformation IC UKE.pdf', 'language': 'English International'}]"
